"","PMID","Abstract","Year","Title"
"264","34281985","QUESTION: Mental disorders typically start in childhood and persist, causing high individual and collective burdens. To inform policymaking to address children's mental health in high-income countries we aimed to identify updated data on disorder prevalence.",2021,"Prevalence of childhood mental disorders in high-income countries: a systematic review and meta-analysis to inform policymaking."
"265","34281985","METHODS: We identified epidemiological studies reporting mental disorder prevalence in representative samples of children aged 18 years or younger-including a range of disorders and ages and assessing impairment (searching January 1990 through February 2021). We extracted associated service-use data where studies assessed this. We conducted meta-analyses using a random effects logistic model (using R metafor package).",2021,"Prevalence of childhood mental disorders in high-income countries: a systematic review and meta-analysis to inform policymaking."
"266","34281985","FINDINGS: Fourteen studies in 11 countries met inclusion criteria, published from 2003 to 2020 with a pooled sample of 61 545 children aged 4-18 years, including eight reporting service use. (All data were collected pre-COVID-19.) Overall prevalence of any childhood mental disorder was 12.7% (95% CI 10.1% to 15.9%; I2=99.1%). Significant heterogeneity pertained to diagnostic measurement and study location. Anxiety (5.2%), attention-deficit/hyperactivity (3.7%), oppositional defiant (3.3%), substance use (2.3%), conduct (1.3%) and depressive (1.3%) disorders were the most common. Among children with mental disorders, only 44.2% (95% CI 37.6% to 50.9%) received any services for these conditions.",2021,"Prevalence of childhood mental disorders in high-income countries: a systematic review and meta-analysis to inform policymaking."
"267","34281985","CONCLUSIONS: An estimated one in eight children have mental disorders at any given time, causing symptoms and impairment, therefore requiring treatment. Yet even in high-income countries, most children with mental disorders are not receiving services for these conditions. We discuss the implications, particularly the need to substantially increase public investments in effective interventions. We also discuss the policy urgency, given the emerging increases in childhood mental health problems since the onset of the COVID-19 pandemic (PROSPERO CRD42020157262).",2021,"Prevalence of childhood mental disorders in high-income countries: a systematic review and meta-analysis to inform policymaking."
"268","34282552","PURPOSE: During the COVID-19 pandemic, elective thyroid surgery is experiencing delays. The problem is that the COVID-19 pandemic is ongoing. The research purposes were to systematically collect the literature data on the characteristics of those thyroid operations performed and to assess the safety/risks associated with thyroid surgery during the COVID-19 pandemic.",2021,"Thyroid surgery during the COVID-19 pandemic: results from a systematic review."
"269","34282552","METHODS: We used all the procedures consistent with the PRISMA guidelines. A comprehensive literature in MEDLINE (PubMed) and Scopus was made using ''Thyroid'' and ""coronavirus"" as search terms.",2021,"Thyroid surgery during the COVID-19 pandemic: results from a systematic review."
"270","34282552","RESULTS: Of a total of 293 articles identified, 9 studies met the inclusion criteria. The total number of patients undergoing thyroid surgery was 2217. The indication for surgery was malignancy in 1347 cases (60.8%). Screening protocols varied depending on hospital protocol and maximum levels of personal protection equipment were adopted. The hospital length of stay was 2-3 days. Total thyroidectomy was chosen for 1557 patients (1557/1868, 83.4%), of which 596 procedures (596/1558, 38.3%) were combined with lymph node dissections. Cross-infections were registered in 14 cases (14/721, 1.9%), of which three (3/721, 0.4%) with severe pulmonary complications of COVID-19. 377 patients (377/1868, 20.2%) had complications after surgery, of which 285 (285/377, 75.6%) hypoparathyroidism and 71 (71/377, 18.8%) recurrent laryngeal nerve injury.",2021,"Thyroid surgery during the COVID-19 pandemic: results from a systematic review."
"271","34282552","CONCLUSION: The risk of SARS-CoV-2 transmission after thyroid surgery is relatively low. Our study could promote the restart of planned thyroid surgery due to COVID-19. Future studies are warranted to obtain more solid data about the risk of complications after thyroid surgery during the COVID-19 era.",2021,"Thyroid surgery during the COVID-19 pandemic: results from a systematic review."
"272","34282603","BACKGROUND: Infectious diseases are a major cause of illness and death among older adults. Vaccines can prevent infectious diseases, including against seasonal influenza, pneumococcal diseases, herpes zoster and COVID-19. However, the uptake of vaccination among older adults varies across settings and groups. Communication with healthcare workers can play an important role in older people's decisions to vaccinate. To support an informed decision about vaccination, healthcare workers should be able to identify the older person's knowledge gaps, needs and concerns. They should also be able to share and discuss information about the person's disease risk and disease severity; the vaccine's effectiveness and safety; and practical information about how the person can access vaccines. Therefore, healthcare workers need good communication skills and to actively keep up-to-date with the latest evidence. An understanding of their perceptions and experiences of this communication can help us train and support healthcare workers and design good communication strategies.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"273","34282603","OBJECTIVES: To explore healthcare workers' perceptions and experiences of communicating with older adults about vaccination.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"274","34282603","SEARCH METHODS: We searched MEDLINE, CINAHL and Scopus on 21 March 2020. We also searched Epistemonikos for related reviews, searched grey literature sources, and carried out reference checking and citation searching to identify additional studies. We searched for studies in any language.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"275","34282603","SELECTION CRITERIA: We included qualitative studies and mixed-methods studies with an identifiable qualitative component. We included studies that explored the perceptions and experiences of healthcare workers and other health system staff towards communication with adults over the age of 50 years or their informal caregivers about vaccination.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"276","34282603","DATA COLLECTION AND ANALYSIS: We extracted data using a data extraction form designed for this review. We assessed methodological limitations using a list of predefined criteria. We extracted and assessed data regarding study authors' motivations for carrying out their study. We used a thematic synthesis approach to analyse and synthesise the evidence. We used the GRADE-CERQual (Confidence in the Evidence from Reviews of Qualitative research) approach to assess our confidence in each finding. We examined each review finding to identify factors that may influence intervention implementation and we developed implications for practice.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"277","34282603","MAIN RESULTS: We included 11 studies in our review. Most studies explored healthcare workers' views and experiences about vaccination of older adults more broadly but also mentioned communication issues specifically. All studies were from high-income countries. The studies focused on doctors, nurses, pharmacists and others working in hospitals, clinics, pharmacies and nursing homes. These healthcare workers discussed different types of vaccines, including influenza, pneumococcal and herpes zoster vaccines. The review was carried out before COVID-19 vaccines were available. We downgraded our confidence in several of the findings from high confidence to moderate, low or very low confidence. One reason for this was that some findings were based on only small amounts of data. Another reason was that the findings were based on studies from only a few countries, making us unsure about the relevance of these findings to other settings. Healthcare workers reported that older adults asked about vaccination to different extents, ranging from not asking about vaccines at all, to great demand for information (high confidence finding). When the topic of vaccination was discussed, healthcare workers described a lack of information, and presence of misinformation, fears and concerns about vaccines among older adults (moderate confidence). The ways in which healthcare workers discussed vaccines with older adults appeared to be linked to what they saw as the aim of vaccination communication. Healthcare workers differed among themselves in their perceptions of this aim and about their own roles and the roles of older adults in vaccine decisions. Some healthcare workers thought it was important to provide information but emphasised the right and responsibility of older adults to decide for themselves. Others used information to persuade and convince older adults to vaccinate in order to increase 'compliance' and 'improve' vaccination rates, and in some cases to gain financial benefits. Other healthcare workers tailored their approach to what they believed the older adult needed or wanted (moderate confidence). Healthcare workers believed that older adults' decisions could be influenced by several factors, including the nature of the healthcare worker-patient relationship, the healthcare worker's status, and the extent to which healthcare workers led by example (low confidence). Our review also identified factors that are likely to influence how communication between healthcare workers and older adults take place. These included issues tied to healthcare workers' views and experiences regarding the diseases in question and the vaccines; as well as their views and experiences of the organisational and practical implementation of vaccine services.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"278","34282603","AUTHORS' CONCLUSIONS: There is little research focusing specifically on healthcare workers' perceptions and experiences of communication with older adults about vaccination. The studies we identified suggest that healthcare workers differed among themselves in their perceptions about the aim of this communication and about the role of older adults in vaccine decisions. Based on these findings and the other findings in our review, we have developed a set of questions or prompts that may help health system planners or programme managers when planning or implementing strategies for vaccination communication between healthcare workers and older adults.",2021,"Healthcare workers' perceptions and experiences of communicating with people over 50 years of age about vaccination: a qualitative evidence synthesis."
"279","34282618","OBJECTIVES: The most promising strategy for managing COVID-19 pandemic is achieving sufficient vaccination rate worldwide. The question is how many people will be willing to get vaccinated.",NA,"Acceptance of a vaccine against COVID-19 - a systematic review of surveys conducted worldwide."
"280","34282618","STUDY DESIGN: We systematically reviewed peer-reviewed manuscripts monitoring people´s intention to receive a vaccine against COVID-19.",NA,"Acceptance of a vaccine against COVID-19 - a systematic review of surveys conducted worldwide."
"281","34282618","METHODS: Up to December 28, 2020 we identified 62 relevant peer-reviewed articles in PubMed, Web of Science, Scopus and GoogleScholar.",NA,"Acceptance of a vaccine against COVID-19 - a systematic review of surveys conducted worldwide."
"282","34282618","RESULTS: Total sample size was 118 855 respondents with overall average COVID-19 vaccine acceptance rate of 72.5% which is ""just"" the level estimated to be sufficient for reaching herd immunity threshold. Surprisingly, healthcare workers showed smaller interest in receiving the vaccine when compared to general adult population and university students. On the other hand, their attitude to vaccination did not change over time. In case of general adult population, the longer the pandemic lasts, the smaller proportion of population wants to get vaccinated. Vaccination intentions were independent of gross domestic product and human development index.",NA,"Acceptance of a vaccine against COVID-19 - a systematic review of surveys conducted worldwide."
"283","34282618","CONCLUSION: Willingness of population to receive COVID-19 is just at the herd immunity threshold and it is decreasing over time (Tab. 2, Fig. 3, Ref. 110).  Keywords: vaccination, survey, COVID-19, pandemic, review.",NA,"Acceptance of a vaccine against COVID-19 - a systematic review of surveys conducted worldwide."
"284","34282852","BACKGROUND: Many millions of people living with dementia around the world are not diagnosed, which has a negative impact both on their access to care and treatment and on rational service planning. Telehealth - the use of information and communication technology (ICT) to provide health services at a distance - may be a way to increase access to specialist assessment for people with suspected dementia, especially those living in remote or rural areas. It has also been much used during the COVID-19 pandemic. It is important to know whether diagnoses made using telehealth assessment are as accurate as those made in conventional, face-to-face clinical settings.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"285","34282852","OBJECTIVES: Primary objective: to assess the diagnostic accuracy of telehealth assessment for dementia and mild cognitive impairment. Secondary objectives: to identify the quality and quantity of the relevant research evidence; to identify sources of heterogeneity in the test accuracy data; to identify and synthesise any data on patient or clinician satisfaction, resource use, costs or feasibility of the telehealth assessment models in the included studies.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"286","34282852","SEARCH METHODS: We searched multiple databases and clinical trial registers on 4 November 2020 for published and 'grey' literature and registered trials. We applied no search filters and no language restrictions. We screened the retrieved citations in duplicate and assessed in duplicate the full texts of papers considered potentially relevant.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"287","34282852","SELECTION CRITERIA: We included in the review cross-sectional studies with 10 or more participants who had been referred to a specialist service for assessment of a suspected cognitive disorder. Within a period of one month or less, each participant had to undergo two clinical assessments designed to diagnose dementia or mild cognitive impairment (MCI): a telehealth assessment (the index test) and a conventional face-to-face assessment (the reference standard). The telehealth assessment could be informed by some data collected face-to-face, e.g. by nurses working in primary care, but all contact between the patient and the specialist clinician responsible for synthesising the information and making the diagnosis had to take place remotely using ICT.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"288","34282852","DATA COLLECTION AND ANALYSIS: Two review authors independently extracted data from included studies. Data extracted covered study design, setting, participants, details of index test and reference standard, and results in the form of numbers of participants given diagnoses of dementia or MCI. Data were also sought on dementia subtype diagnoses and on quantitative measures of patient or clinician satisfaction, resource use, costs and feasibility. We assessed risk of bias and applicability of each included study using QUADAS-2. We entered the results into 2x2 tables in order to calculate the sensitivity and specificity of telehealth assessment for the diagnosis of all-cause dementia, MCI, and any cognitive syndrome (combining dementia and MCI). We presented the results of included studies narratively because there were too few studies to derive summary estimates of sensitivity and specificity.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"289","34282852","MAIN RESULTS: Three studies with 136 participants were eligible for inclusion. Two studies (20 and 100 participants) took place in community settings in Australia and one study (16 participants) was conducted in veterans' homes in the USA. Participants were referred from primary care with undiagnosed cognitive symptoms or were identified as being at high risk of having dementia on a screening test in the care homes. Dementia and MCI were target conditions in the larger study; the other studies targeted dementia diagnosis only. Only one small study used a 'pure' telehealth model, i.e. not involving any elements of face-to-face assessment. The studies were generally well-conducted. We considered two studies to be at high risk of incorporation bias because a substantial amount of information collected face-to-face by nurses was used to inform both index test and reference standard assessments. One study was at unclear risk of selection bias. For the diagnosis of all-cause dementia, sensitivity of telehealth assessment ranged from 0.80 to 1.00 and specificity from 0.80 to 1.00. We considered this to be very low-certainty evidence due to imprecision, inconsistency between studies and risk of bias. For the diagnosis of MCI, data were available from only one study (100 participants) giving a sensitivity of 0.71 (95% CI 0.54 to 0.84) and a specificity of 0.73 (95% CI 0.60 to 0.84). We considered this to be low-certainty evidence due to imprecision and risk of bias. For diagnosis of any cognitive syndrome (dementia or MCI), data from the same study gave a sensitivity of 0.97 (95% CI 0.91 to 0.99) and a specificity of 0.22 (95% CI 0.03 to 0.60). The majority of diagnostic disagreements concerned the distinction between MCI and dementia, occurring approximately equally in either direction. There was also a tendency for patients identified as cognitively healthy at face-to-face assessment to be diagnosed with MCI at telehealth assessment (but numbers were small). There were insufficient data to make any assessment of the accuracy of dementia subtype diagnosis. One study provided a small amount of data indicating a good level of clinician and especially patient satisfaction with the telehealth model. There were no data on resource use, costs or feasibility.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"290","34282852","AUTHORS' CONCLUSIONS: We found only very few eligible studies with a small number of participants. An important difference between the studies providing data for the analyses was whether the target condition was dementia only (two studies) or dementia and MCI (one study). The data suggest that telehealth assessment may be highly sensitive and specific for the diagnosis of all-cause dementia when assessed against a reference standard of conventional face-to-face assessment, but the estimates are imprecise due to small sample sizes and between-study heterogeneity, and may apply mainly to telehealth models which incorporate a considerable amount of face-to-face contact with healthcare professionals other than the doctor responsible for making the diagnosis. For the diagnosis of MCI by telehealth assessment, best estimates of both sensitivity and specificity were somewhat lower, but were based on a single study. Errors occurred at the cognitively healthy/MCI and the MCI/dementia boundaries. However, there is no evidence that diagnostic disagreements were more frequent than would be expected due to the known variation between clinicians' opinions when assigning a dementia diagnosis.",2021,"Diagnostic test accuracy of telehealth assessment for dementia and mild cognitive impairment."
"291","34286504","OBJECTIVE: Global health resources have faced huge challenges from the pandemic coronavirus disease 2019 (COVID-19) since December 2019. Numerous clinical reports have focused on the association of serum amyloid A (SAA) levels with severe COVID-19. However, a systematic analysis synthesizing these findings has not been performed. This meta-analysis aims to systematically review the role of SAA levels in distinguishing among patients with mild, severe, and critical COVID-19.",NA,"Association between serum amyloid A levels and predicting disase severity in COVID-19 patients: a systematic review and meta-analysis."
"292","34286504","MATERIALS AND METHODS: A comprehensive literature search was conducted in the PubMed, Embase, and Web of Science databases from the beginning of the COVID-19 outbreak to February 1, 2021. Two investigators independently reviewed suitable studies. Pooled standardized mean differences (SMDs), 95% confidence intervals (CIs), and correlation coefficients (r) were computed using a random-effects model.",NA,"Association between serum amyloid A levels and predicting disase severity in COVID-19 patients: a systematic review and meta-analysis."
"293","34286504","RESULTS: We included 19 of 317 titles identified by our search, involving a total of 1806 mild cases and 1529 severe cases. Compared with the mild group, the severe group had markedly higher SAA levels (SMD=1.155, 95% CI 0.89, 1.42). Subgroup analysis revealed that the SAA level differences between the severe group and the mild group were associated with age, sample size, and detection method. Sensitivity analyses showed the credibility and robustness of our results. In addition, in six studies involving 1144 patients with severe COVID-19 and 433 patients with critical COVID-19, SAA was significantly higher in patients with critical COVID-19 (SMD=0.476, 95% CI 0.13, 0.82).",NA,"Association between serum amyloid A levels and predicting disase severity in COVID-19 patients: a systematic review and meta-analysis."
"294","34286504","CONCLUSIONS: High circulating SAA levels were markedly associated with COVID-19 severity, especially for subjects aged less than 50 years, compared with patients with mild COVID-19. SAA concentrations were also significantly higher in patients with critical COVID-19 compared with those with severe COVID-19. Further studies in large cohorts are needed to confirm whether the SAA is a useful tool in discriminating among patients with stable COVID-19, those with acute exacerbations, and subjects without disease.",NA,"Association between serum amyloid A levels and predicting disase severity in COVID-19 patients: a systematic review and meta-analysis."
"295","34287098","BACKGROUND: Rituximab is a FDA-approved monoclonal antibody for adults with moderate to severe potentially life-threatening pemphigus vulgaris. Recent studies have focused on assessments of efficacy and safety of low-dose rituximab (<2 gram in each cycle).",2021,"A systematic review on efficacy, safety, and treatment-durability of low-dose rituximab for the treatment of Pemphigus: special focus on COVID-19 pandemic concerns."
"296","34287098","METHOD: Databases were searched from 2010 to 2020 (last update: 1 June 2020).",2021,"A systematic review on efficacy, safety, and treatment-durability of low-dose rituximab for the treatment of Pemphigus: special focus on COVID-19 pandemic concerns."
"297","34287098","RESULT: Nine studies were entered; including180 cases (92: women, 88: men, age range: 9-83 years). The dosages of each Rituximab cycle varied between ultra-low-dose (≤500 mg for a cycle, either multiple infusions or a single infusion), low-dose (2 × 375 mg/m2 or 2 × 500 mg) and modified-dose (3 × 375 mg/m2 or 3 × 500 mg). The efficacy and safety of Rituximab in the studies are known by the recovery time, relapse time, and side events. According to the studies, 2 × 500 can lead to complete remission in a broad range, from 35 to 82%. These differences might be explained by different end-points and variable cumulative corticosteroid dosage after RTX administration. Although the studies showed that low dose RTX is efficient, there are some controversies regarding the choosing low-dose for severe patients.",2021,"A systematic review on efficacy, safety, and treatment-durability of low-dose rituximab for the treatment of Pemphigus: special focus on COVID-19 pandemic concerns."
"298","34287098","CONCLUSION: Considering the effectiveness of low-dose, intermediate dose, and ultra-low-dose protocols of Rituximab in inducing remission in pemphigus disease and considering factors such as cost of therapy, and the need to induce a minimum of immunosuppression for a minimum duration in the COVID-19 pandemic, suggested to use low-dose Rituximab protocol (2 infusions of 500 mg Rituximab: interval of 2 weeks) to induce the remission in mild-to-moderate pemphigus patients.",2021,"A systematic review on efficacy, safety, and treatment-durability of low-dose rituximab for the treatment of Pemphigus: special focus on COVID-19 pandemic concerns."
"299","34291812","BACKGROUND: Loss of olfactory function is well recognised as a cardinal symptom of COVID-19 infection, and the ongoing pandemic has resulted in a large number of affected individuals with abnormalities in their sense of smell. For many, the condition is temporary and resolves within two to four weeks. However, in a significant minority the symptoms persist. At present, it is not known whether early intervention with any form of treatment (such as medication or olfactory training) can promote recovery and prevent persisting olfactory disturbance.  OBJECTIVES: To assess the effects (benefits and harms) of interventions that have been used, or proposed, to prevent persisting olfactory dysfunction due to COVID-19 infection. A secondary objective is to keep the evidence up-to-date, using a living systematic review approach.  SEARCH METHODS: The Cochrane ENT Information Specialist searched the Cochrane COVID-19 Study Register; Cochrane ENT Register; CENTRAL; Ovid MEDLINE; Ovid Embase; Web of Science; ClinicalTrials.gov; ICTRP and additional sources for published and unpublished studies. The date of the search was 16 December 2020.",2021,"Interventions for the prevention of persistent post-COVID-19 olfactory dysfunction."
"300","34291812","SELECTION CRITERIA: Randomised controlled trials including participants who had symptoms of olfactory disturbance following COVID-19 infection. Individuals who had symptoms for less than four weeks were included in this review. Studies compared any intervention with no treatment or placebo.  DATA COLLECTION AND ANALYSIS: We used standard Cochrane methodological procedures. Our primary outcomes were the presence of normal olfactory function, serious adverse effects and change in sense of smell. Secondary outcomes were the prevalence of parosmia, change in sense of taste, disease-related quality of life and other adverse effects (including nosebleeds/bloody discharge). We used GRADE to assess the certainty of the evidence for each outcome.  MAIN RESULTS: We included one study of 100 participants, which compared an intranasal steroid spray to no intervention. Participants in both groups were also advised to undertake olfactory training for the duration of the trial. Data were identified for only two of the prespecified outcomes for this review, and no data were available for the primary outcome of serious adverse effects. Intranasal corticosteroids compared to no intervention (all using olfactory training) Presence of normal olfactory function after three weeks of treatment was self-assessed by the participants, using a visual analogue scale (range 0 to 10, higher scores = better). A score of 10 represented ""completely normal smell sensation"". The evidence is very uncertain about the effect of intranasal corticosteroids on self-rated recovery of sense of smell (estimated absolute effect 619 per 1000 compared to 520 per 1000, risk ratio (RR) 1.19, 95% confidence interval (CI) 0.85 to 1.68; 1 study; 100 participants; very low-certainty evidence).  Change in sense of smell was not reported, but the self-rated score for sense of smell was reported at the endpoint of the study with the same visual analogue scale (after three weeks of treatment). The median scores at endpoint were 10 (interquartile range (IQR) 9 to 10) for the group receiving intranasal corticosteroids, and 10 (IQR 5 to 10) for the group receiving no intervention (1 study; 100 participants; very low-certainty evidence).",2021,"Interventions for the prevention of persistent post-COVID-19 olfactory dysfunction."
"301","34291812","AUTHORS' CONCLUSIONS: There is very limited evidence regarding the efficacy of different interventions at preventing persistent olfactory dysfunction following COVID-19 infection. However, we have identified a small number of additional ongoing studies in this area. As this is a living systematic review, the evidence will be updated regularly to incorporate new data from these, and other relevant studies, as they become available.  For this (first) version of the living review, we identified a single study of intranasal corticosteroids to include in this review, which provided data for only two of our prespecified outcomes. The evidence was of very low certainty, therefore we were unable to determine whether intranasal corticosteroids may have a beneficial or harmful effect.",2021,"Interventions for the prevention of persistent post-COVID-19 olfactory dysfunction."
"302","34291813","BACKGROUND: Olfactory dysfunction is an early and sensitive marker of COVID-19 infection. Although self-limiting in the majority of cases, when hyposmia or anosmia persists it can have a profound effect on quality of life. Little guidance exists on the treatment of post-COVID-19 olfactory dysfunction, however several strategies have been proposed from the evidence relating to the treatment of post-viral anosmia (such as medication or olfactory training).",2021,"Interventions for the treatment of persistent post-COVID-19 olfactory dysfunction."
"303","34291813","OBJECTIVES: To assess the effects (benefits and harms) of interventions that have been used, or proposed, to treat persisting olfactory dysfunction due to COVID-19 infection. A secondary objective is to keep the evidence up-to-date, using a living systematic review approach.  SEARCH METHODS: The Cochrane ENT Information Specialist searched the Cochrane COVID-19 Study Register; Cochrane ENT Register; CENTRAL; Ovid MEDLINE; Ovid Embase; Web of Science; ClinicalTrials.gov; ICTRP and additional sources for published and unpublished studies. The date of the search was 16 December 2020.",2021,"Interventions for the treatment of persistent post-COVID-19 olfactory dysfunction."
"304","34291813","SELECTION CRITERIA: Randomised controlled trials including participants who had symptoms of olfactory disturbance following COVID-19 infection. Only individuals who had symptoms for at least four weeks were included in this review. Studies compared any intervention with no treatment or placebo.",2021,"Interventions for the treatment of persistent post-COVID-19 olfactory dysfunction."
"305","34291813","DATA COLLECTION AND ANALYSIS: We used standard Cochrane methodological procedures. Primary outcomes were the recovery of sense of smell, disease-related quality of life and serious adverse effects. Secondary outcomes were the change in sense of smell, general quality of life, prevalence of parosmia and other adverse effects (including nosebleeds/bloody discharge). We used GRADE to assess the certainty of the evidence for each outcome.",2021,"Interventions for the treatment of persistent post-COVID-19 olfactory dysfunction."
"306","34291813","MAIN RESULTS: We included one study with 18 participants, which compared the use of a 15-day course of oral steroids combined with nasal irrigation (consisting of an intranasal steroid/mucolytic/decongestant solution) with no intervention. Psychophysical testing was used to assess olfactory function at baseline, 20 and 40 days. Systemic corticosteroids plus intranasal steroid/mucolytic/decongestant compared to no intervention Recovery of sense of smell was assessed after 40 days (25 days after cessation of treatment) using the Connecticut Chemosensory Clinical Research Center (CCCRC) score. This tool has a range of 0 to 100, and a score of ≥ 90 represents normal olfactory function. The evidence is very uncertain about the effect of this intervention on recovery of the sense of smell at one to three months (5/9 participants in the intervention group scored ≥ 90 compared to 0/9 in the control group; risk ratio (RR) 11.00, 95% confidence interval (CI) 0.70 to 173.66; 1 study; 18 participants; very low-certainty evidence). Change in sense of smell was assessed using the CCCRC score at 40 days. This study reported an improvement in sense of smell in the intervention group from baseline (median improvement in CCCRC score 60, interquartile range (IQR) 40) compared to the control group (median improvement in CCCRC score 30, IQR 25) (1 study; 18 participants; very low-certainty evidence). Serious adverse events andother adverse events were not identified in any participants of this study; however, it is unclear how these outcomes were assessed and recorded (1 study; 18 participants; very low-certainty evidence).",2021,"Interventions for the treatment of persistent post-COVID-19 olfactory dysfunction."
"307","34291813","AUTHORS' CONCLUSIONS: There is very limited evidence available on the efficacy and harms of treatments for persistent olfactory dysfunction following COVID-19 infection. However, we have identified other ongoing trials in this area. As this is a living systematic review we will update the data regularly, as new results become available. For this (first) version of the living review we identified only one study with a small sample size, which assessed systemic steroids and nasal irrigation (intranasal steroid/mucolytic/decongestant). However, the evidence regarding the benefits and harms from this intervention to treat persistent post-COVID-19 olfactory dysfunction is very uncertain.",2021,"Interventions for the treatment of persistent post-COVID-19 olfactory dysfunction."
"308","34292433","Cardiac involvement has been frequently reported in COVID-19 as responsible of increased morbidity and mortality. Given the importance of right heart function in acute and chronic respiratory diseases, its assessment in SARS-CoV-2 infected patients may add prognostic accuracy. Transthoracic echocardiography has been proposed to early predict myocardial injury and risk of death in hospitalized patients. This systematic review presents the up-to-date sum of literature regarding right ventricle ultrasound assessment. We evaluated commonly used echocardiographic parameters to assess RV function and discussed their relationship with pathophysiological mechanisms involved in COVID-19. We searched Medline and Embase for studies that used transthoracic echocardiography for right ventricle assessment in patients with COVID-19.",2021,"Echocardiographic assessment of the right ventricle in COVID-19: a systematic review."
"309","34292815","As a result of the coronavirus disease 2019 (COVID-19) pandemic, tele-health for orthopedic care is expanding rapidly. The authors sought to identify the evidence describing the effectiveness, barriers, and clinical applications of telehealth for orthopedic assessments and consultations. MEDLINE, PubMed, EMBASE, and the Cochrane Library were searched from inception to March 2020. Forty-seven studies were included, with the most common conditions evaluated being trauma related and the primary modality being videoconferencing. Available literature supports the use of telehealth for orthopedic consultations and assessments because it yields moderate-to-high patient and provider satisfaction, accurate examinations, cost-effectiveness, and reduced wait times. Most commonly reported concerns were professional liability, network security, and technical issues. Given the COVID-19 pandemic, rapid implementation and uptake of virtual assessment for patient care has occurred. The current evidence suggests that telehealth is capable of providing prompt access to quality, cost-efficient orthopedic consultations and assessments. [Orthopedics. 2021;44(4):198--206.].",2021,"The Use of Telehealth for Orthopedic Consultations and Assessments: A Systematic Review."
"310","34293161","We aim to study the relationship between vitamin D level, risk and severity of Coronavirus disease of 2019 (COVID-19) infection in pediatric population through systematic review. We searched PubMed, CINAHL, EMBASE, Cochrane Library and Google Scholar from December 2019 to June 2021 for retrieving articles studying association between vitamin D deficiencies with COVID-19. Qualitative details were synthesized in evidence table and quantitative data was used for deriving pooled estimate through meta-analysis. After initial search of 2261 articles, eight eligible studies (two reviews) were included in the systematic review. Meta-analysis of the quantitative data (six studies) showed pooled prevalence of vitamin D deficiency as 45.91% (95% CI: 25.148-67.450). In infected pediatric patients, low levels of vitamin D increased the risk of severe disease (odds ratio-5.5; 95% CI: 1.560-19.515; P = 0.008). It was also found that children and adolescents having vitamin D deficiency had greater risk of COVID infection as compared to patients with normal vitamin D levels. Improvement in disease severity with vitamin D supplementation was also noted. The systematic review showed that almost half of the pediatric COVID patients suffer from vitamin D deficiency. It is also clear that the low level of vitamin D is associated with greater risk of infection and poorer outcome in pediatrics.",NA,"Low vitamin D levels and prognosis in a COVID-19 pediatric population: a systematic review."
"311","34293539","OBJECTIVE: Coagulation and inflammatory parameters are mildly altered in children with SARS-CoV-2 (COVID-19) infection, and laboratory evidence of a proinflammatory and procoagulant state has been noted in multisystem inflammatory syndrome in children (MIS-C). It is not clear whether this pediatric condition is related to thrombotic events. With this study we reviewed the literature for thrombotic complications in children with COVID-19 infection and MIS-C.",2021,"Thrombotic risk in children with COVID-19 infection: A systematic review of the literature."
"312","34293539","DATA SOURCES: We searched the Medline PubMed Advanced Search Builder, Scopus, Web Of Science, and Google Scholar electronic databases (until 1 January 2021) using the medical subject headings (MeSH) terms and text words (their combinations and truncated synonyms): (THROMBOSIS OR THROMBOPHILIA) AND (CHILD OR CHILDREN OR INFANT) AND (COVID-19 OR SARS-CoV-2).",2021,"Thrombotic risk in children with COVID-19 infection: A systematic review of the literature."
"313","34293539","STUDY ELIGIBILITY CRITERIA: Inclusion criteria were children with COVID-19 or SARS-COV-2 infection. The search was limited to articles published in English. Exclusion criteria were: reviews of published studies, studies published only as abstracts, letters or conference proceedings, discussion papers, animal studies, or editorials.",2021,"Thrombotic risk in children with COVID-19 infection: A systematic review of the literature."
